label_disease_nm,gender,age,breed,eye_position,age_mean
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,2,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,6,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,6,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,6,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
